bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,4,1,2,5,37,2022-05-08 10:19:55+00:00,33,2
01,01002,7,12,9,3,28,113,2022-05-08 10:19:55+00:00,98,19
01,01003,3,3,0,2,6,117,2022-05-08 10:19:55+00:00,99,0
01,01004,1,0,0,1,4,21,2022-05-08 10:19:55+00:00,21,4
01,01051,1,0,0,1,4,33,2022-05-08 10:19:55+00:00,33,4
01,01053,2,2,1,2,2,16,2022-05-08 10:19:55+00:00,16,2
01,01054,3,2,1,3,6,18,2022-05-08 10:19:55+00:00,18,6
01,01055,3,3,1,3,4,39,2022-05-08 10:19:55+00:00,39,4
01,01056,2,0,0,2,13,24,2022-05-08 10:19:55+00:00,24,13
01,01057,1,0,0,1,6,6,2022-05-08 10:19:55+00:00,6,6
01,01058,5,2,0,3,18,23,2022-05-08 10:19:55+00:00,21,14
01,01059,1,2,0,1,0,24,2022-05-08 10:19:55+00:00,24,0
01,01060,3,2,1,3,29,52,2022-05-08 10:19:55+00:00,52,29
01,01061,3,1,0,1,12,31,2022-05-08 10:19:55+00:00,21,9
01,01062,3,2,2,3,5,23,2022-05-08 10:19:55+00:00,23,5
02,02000,34,21,7,24,109,450,2022-05-08 10:19:55+00:00,386,68
03,03101,7,2,2,5,38,94,2022-05-08 10:19:55+00:00,83,32
03,03102,2,0,0,2,1,27,2022-05-08 10:19:55+00:00,27,1
03,03103,3,1,1,1,4,25,2022-05-08 10:19:55+00:00,17,3
03,03151,1,2,2,1,0,10,2022-05-08 10:19:55+00:00,10,0
03,03153,3,2,1,3,0,22,2022-05-08 10:19:55+00:00,22,0
03,03154,1,2,1,1,1,15,2022-05-08 10:19:55+00:00,15,1
03,03155,2,1,0,2,6,12,2022-05-08 10:19:55+00:00,12,6
03,03157,1,0,0,1,2,10,2022-05-08 10:19:55+00:00,10,2
03,03158,1,1,0,1,4,12,2022-05-08 10:19:55+00:00,12,4
03,03159,8,6,3,7,24,109,2022-05-08 10:19:55+00:00,97,20
03,03241,16,13,5,15,43,170,2022-05-08 10:19:55+00:00,154,40
03,03251,3,1,0,3,5,12,2022-05-08 10:19:55+00:00,12,5
03,03252,6,1,0,4,16,56,2022-05-08 10:19:55+00:00,56,10
03,03254,7,4,2,4,25,49,2022-05-08 10:19:55+00:00,43,20
03,03255,1,0,0,1,3,7,2022-05-08 10:19:55+00:00,7,3
03,03256,1,1,0,1,4,12,2022-05-08 10:19:55+00:00,12,4
03,03257,1,2,0,1,1,23,2022-05-08 10:19:55+00:00,23,1
03,03351,2,1,0,1,14,24,2022-05-08 10:19:55+00:00,17,11
03,03352,2,1,0,2,3,9,2022-05-08 10:19:55+00:00,9,3
03,03353,3,0,0,3,6,24,2022-05-08 10:19:55+00:00,24,6
03,03354,1,0,0,1,1,5,2022-05-08 10:19:55+00:00,5,1
03,03355,3,1,1,1,8,29,2022-05-08 10:19:55+00:00,17,3
03,03356,3,3,2,2,1,9,2022-05-08 10:19:55+00:00,9,1
03,03357,3,1,1,2,4,26,2022-05-08 10:19:55+00:00,24,2
03,03358,2,1,0,2,6,16,2022-05-08 10:19:55+00:00,16,6
03,03359,3,1,1,2,4,22,2022-05-08 10:19:55+00:00,22,1
03,03360,2,1,0,2,5,71,2022-05-08 10:19:55+00:00,71,5
03,03361,2,1,0,2,0,14,2022-05-08 10:19:55+00:00,14,0
03,03401,1,0,0,1,3,16,2022-05-08 10:19:55+00:00,16,3
03,03402,1,0,0,1,0,13,2022-05-08 10:19:55+00:00,13,0
03,03403,6,4,4,3,5,108,2022-05-08 10:19:55+00:00,90,5
03,03404,5,4,0,4,14,96,2022-05-08 10:19:55+00:00,83,11
03,03405,2,2,0,1,4,24,2022-05-08 10:19:55+00:00,20,0
03,03451,3,0,0,2,1,30,2022-05-08 10:19:55+00:00,30,1
03,03452,4,6,1,3,8,29,2022-05-08 10:19:55+00:00,24,5
03,03453,3,0,0,3,5,19,2022-05-08 10:19:55+00:00,19,5
03,03454,10,3,0,6,30,59,2022-05-08 10:19:55+00:00,52,13
03,03455,2,1,0,2,6,25,2022-05-08 10:19:55+00:00,25,6
03,03456,1,1,0,1,2,25,2022-05-08 10:19:55+00:00,25,2
03,03457,6,0,0,4,9,18,2022-05-08 10:19:55+00:00,15,7
03,03458,1,0,0,1,0,7,2022-05-08 10:19:55+00:00,7,0
03,03459,7,6,0,6,17,74,2022-05-08 10:19:55+00:00,74,17
03,03460,5,3,1,3,12,24,2022-05-08 10:19:55+00:00,21,7
03,03461,2,1,1,2,3,7,2022-05-08 10:19:55+00:00,7,3
03,03462,1,0,0,1,2,6,2022-05-08 10:19:55+00:00,6,2
04,04011,9,5,1,8,7,122,2022-05-08 10:19:55+00:00,111,2
04,04012,4,2,2,3,5,34,2022-05-08 10:19:55+00:00,31,2
05,05111,15,12,8,11,16,285,2022-05-08 10:19:55+00:00,249,5
05,05112,15,4,1,9,20,145,2022-05-08 10:19:55+00:00,125,11
05,05113,15,17,9,12,28,311,2022-05-08 10:19:55+00:00,289,23
05,05114,7,5,1,4,11,77,2022-05-08 10:19:55+00:00,67,9
05,05116,6,2,1,4,10,76,2022-05-08 10:19:55+00:00,70,9
05,05117,2,6,4,2,4,28,2022-05-08 10:19:55+00:00,28,4
05,05119,6,5,2,4,20,45,2022-05-08 10:19:55+00:00,36,10
05,05120,1,1,0,1,3,18,2022-05-08 10:19:55+00:00,18,3
05,05122,4,5,4,3,12,60,2022-05-08 10:19:55+00:00,58,10
05,05124,7,4,3,5,34,106,2022-05-08 10:19:55+00:00,97,29
05,05154,8,2,0,5,22,43,2022-05-08 10:19:55+00:00,42,15
05,05158,6,7,2,6,17,40,2022-05-08 10:19:55+00:00,40,17
05,05162,7,1,1,5,7,92,2022-05-08 10:19:55+00:00,81,4
05,05166,4,3,1,4,4,32,2022-05-08 10:19:55+00:00,32,4
05,05170,11,10,4,8,33,100,2022-05-08 10:19:55+00:00,98,24
05,05314,18,13,9,11,19,252,2022-05-08 10:19:55+00:00,198,11
05,05315,29,13,7,18,28,308,2022-05-08 10:19:55+00:00,256,20
05,05316,5,2,1,2,18,50,2022-05-08 10:19:55+00:00,41,9
05,05334,13,8,5,7,12,247,2022-05-08 10:19:55+00:00,233,8
05,05358,6,4,1,4,6,56,2022-05-08 10:19:55+00:00,50,4
05,05362,6,2,0,6,13,45,2022-05-08 10:19:55+00:00,45,13
05,05366,3,3,1,3,11,19,2022-05-08 10:19:55+00:00,19,11
05,05370,3,1,0,3,8,28,2022-05-08 10:19:55+00:00,28,8
05,05374,6,3,2,6,16,65,2022-05-08 10:19:55+00:00,65,16
05,05378,3,0,0,3,4,25,2022-05-08 10:19:55+00:00,25,4
05,05382,7,4,2,6,12,72,2022-05-08 10:19:55+00:00,62,10
05,05512,2,2,1,2,14,29,2022-05-08 10:19:55+00:00,29,14
05,05513,7,1,0,4,20,71,2022-05-08 10:19:55+00:00,61,8
05,05515,10,3,2,7,28,184,2022-05-08 10:19:55+00:00,169,21
05,05554,6,1,0,5,21,50,2022-05-08 10:19:55+00:00,50,19
05,05558,5,2,0,3,4,31,2022-05-08 10:19:55+00:00,22,3
05,05562,15,10,3,14,48,176,2022-05-08 10:19:55+00:00,156,36
05,05566,7,3,2,5,22,81,2022-05-08 10:19:55+00:00,68,20
05,05570,6,3,1,5,9,38,2022-05-08 10:19:55+00:00,37,6
05,05711,7,4,2,4,17,113,2022-05-08 10:19:55+00:00,92,12
05,05754,3,1,0,3,0,24,2022-05-08 10:19:55+00:00,24,0
05,05758,5,4,3,3,10,42,2022-05-08 10:19:55+00:00,37,5
05,05762,6,4,2,5,10,22,2022-05-08 10:19:55+00:00,18,10
05,05766,2,3,1,2,2,48,2022-05-08 10:19:55+00:00,48,2
05,05770,9,6,3,6,33,173,2022-05-08 10:19:55+00:00,150,29
05,05774,7,5,3,5,13,73,2022-05-08 10:19:55+00:00,61,10
05,05911,8,4,0,6,33,156,2022-05-08 10:19:55+00:00,135,33
05,05913,8,6,3,8,26,252,2022-05-08 10:19:55+00:00,252,26
05,05914,7,2,2,5,16,72,2022-05-08 10:19:55+00:00,70,8
05,05915,7,7,5,5,26,68,2022-05-08 10:19:55+00:00,54,18
