bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
01,01001,2,0,0,2,51,32,2020-06-22 12:15:00
01,01002,5,0,0,3,145,110,2020-06-22 12:15:00
01,01003,2,0,0,2,125,118,2020-06-22 12:15:00
01,01004,1,0,0,1,18,22,2020-06-22 12:15:00
01,01051,1,0,0,1,23,33,2020-06-22 12:15:00
01,01053,2,0,0,2,7,17,2020-06-22 12:15:00
01,01054,3,0,0,3,20,24,2020-06-22 12:15:00
01,01055,3,0,0,3,17,35,2020-06-22 12:15:00
01,01056,2,0,0,2,16,23,2020-06-22 12:15:00
01,01057,1,0,0,1,9,3,2020-06-22 12:15:00
01,01058,3,0,0,3,10,40,2020-06-22 12:15:00
01,01059,1,0,0,1,10,14,2020-06-22 12:15:00
01,01060,4,0,0,4,49,85,2020-06-22 12:15:00
01,01061,1,0,0,1,20,18,2020-06-22 12:15:00
01,01062,3,0,0,3,23,35,2020-06-22 12:15:00
02,02000,28,11,10,24,412,558,2020-06-22 12:15:00
03,03101,5,0,0,5,67,89,2020-06-22 12:15:00
03,03102,2,0,0,2,11,16,2020-06-22 12:15:00
03,03103,1,2,1,1,28,20,2020-06-22 12:15:00
03,03151,2,0,0,2,11,25,2020-06-22 12:15:00
03,03153,3,0,0,3,43,46,2020-06-22 12:15:00
03,03154,1,0,0,1,8,26,2020-06-22 12:15:00
03,03155,2,0,0,2,9,14,2020-06-22 12:15:00
03,03157,1,0,0,1,13,9,2020-06-22 12:15:00
03,03158,1,0,0,1,7,9,2020-06-22 12:15:00
03,03159,8,2,1,7,77,138,2020-06-22 12:15:00
03,03241,16,11,7,16,153,332,2020-06-22 12:15:00
03,03251,3,0,0,3,7,5,2020-06-22 12:15:00
03,03252,4,1,1,4,16,58,2020-06-22 12:15:00
03,03254,5,0,0,4,41,59,2020-06-22 12:15:00
03,03255,1,0,0,1,5,9,2020-06-22 12:15:00
03,03256,1,0,0,1,15,19,2020-06-22 12:15:00
03,03257,1,0,0,1,4,19,2020-06-22 12:15:00
03,03351,3,0,0,1,10,31,2020-06-22 12:15:00
03,03352,2,2,1,2,6,12,2020-06-22 12:15:00
03,03353,3,0,0,3,20,46,2020-06-22 12:15:00
03,03354,1,0,0,1,7,8,2020-06-22 12:15:00
03,03355,2,0,0,2,16,22,2020-06-22 12:15:00
03,03356,2,0,0,2,8,8,2020-06-22 12:15:00
03,03357,3,0,0,2,9,25,2020-06-22 12:15:00
03,03358,3,0,0,3,20,15,2020-06-22 12:15:00
03,03359,3,0,0,2,13,24,2020-06-22 12:15:00
03,03360,2,0,0,2,34,45,2020-06-22 12:15:00
03,03361,2,0,0,2,3,12,2020-06-22 12:15:00
03,03401,1,0,0,1,16,13,2020-06-22 12:15:00
03,03402,1,3,1,1,9,12,2020-06-22 12:15:00
03,03403,5,5,4,3,126,100,2020-06-22 12:15:00
03,03404,4,1,1,4,93,33,2020-06-22 12:15:00
03,03405,1,0,0,1,15,21,2020-06-22 12:15:00
03,03451,3,0,0,2,18,22,2020-06-22 12:15:00
03,03452,3,0,0,3,14,28,2020-06-22 12:15:00
03,03453,3,0,0,3,13,30,2020-06-22 12:15:00
03,03454,7,0,0,7,41,61,2020-06-22 12:15:00
03,03455,2,0,0,2,16,21,2020-06-22 12:15:00
03,03456,1,0,0,1,7,23,2020-06-22 12:15:00
03,03457,3,0,0,2,22,19,2020-06-22 12:15:00
03,03458,1,0,0,1,7,8,2020-06-22 12:15:00
03,03459,8,0,0,7,65,57,2020-06-22 12:15:00
03,03460,3,1,1,3,35,22,2020-06-22 12:15:00
03,03461,2,0,0,2,7,11,2020-06-22 12:15:00
03,03462,1,0,0,1,6,7,2020-06-22 12:15:00
04,04011,10,7,4,9,68,109,2020-06-22 12:15:00
04,04012,2,0,0,2,6,18,2020-06-22 12:15:00
05,05111,12,3,1,11,85,231,2020-06-22 12:15:00
05,05112,13,6,4,9,94,170,2020-06-22 12:15:00
05,05113,15,3,2,14,98,254,2020-06-22 12:15:00
05,05114,6,1,0,4,32,75,2020-06-22 12:15:00
05,05116,5,0,0,4,32,89,2020-06-22 12:15:00
05,05117,2,3,1,2,19,35,2020-06-22 12:15:00
05,05119,6,0,0,4,37,45,2020-06-22 12:15:00
05,05120,1,0,0,1,16,20,2020-06-22 12:15:00
05,05122,3,3,3,3,48,51,2020-06-22 12:15:00
05,05124,5,3,3,5,94,103,2020-06-22 12:15:00
05,05154,5,0,0,5,26,42,2020-06-22 12:15:00
05,05158,6,0,0,6,42,40,2020-06-22 12:15:00
05,05162,7,0,0,6,41,84,2020-06-22 12:15:00
05,05166,4,0,0,4,20,41,2020-06-22 12:15:00
05,05170,9,4,2,8,74,95,2020-06-22 12:15:00
05,05314,15,6,3,11,53,215,2020-06-22 12:15:00
05,05315,26,5,3,18,87,364,2020-06-22 12:15:00
05,05316,4,1,0,2,40,48,2020-06-22 12:15:00
05,05334,11,4,2,7,81,267,2020-06-22 12:15:00
05,05358,6,0,0,5,34,42,2020-06-22 12:15:00
05,05362,7,2,1,7,35,46,2020-06-22 12:15:00
05,05366,3,0,0,3,3,41,2020-06-22 12:15:00
05,05370,3,2,1,3,9,24,2020-06-22 12:15:00
05,05374,7,0,0,7,41,77,2020-06-22 12:15:00
05,05378,4,0,0,4,27,26,2020-06-22 12:15:00
05,05382,6,0,0,6,19,74,2020-06-22 12:15:00
05,05512,2,0,0,2,41,26,2020-06-22 12:15:00
05,05513,6,0,0,4,61,73,2020-06-22 12:15:00
05,05515,8,4,3,7,45,227,2020-06-22 12:15:00
05,05554,5,0,0,5,40,41,2020-06-22 12:15:00
05,05558,3,0,0,3,27,14,2020-06-22 12:15:00
05,05562,14,1,1,14,98,185,2020-06-22 12:15:00
05,05566,5,1,1,5,32,57,2020-06-22 12:15:00
05,05570,4,1,0,4,29,26,2020-06-22 12:15:00
05,05711,4,1,0,4,45,101,2020-06-22 12:15:00
05,05754,3,6,1,3,22,28,2020-06-22 12:15:00
05,05758,4,1,0,3,30,38,2020-06-22 12:15:00
05,05762,5,0,0,5,14,29,2020-06-22 12:15:00
05,05766,2,0,0,2,32,49,2020-06-22 12:15:00
05,05770,6,0,0,6,59,97,2020-06-22 12:15:00
05,05774,6,1,1,5,48,77,2020-06-22 12:15:00
05,05911,8,2,1,6,76,154,2020-06-22 12:15:00
05,05913,9,5,1,9,68,236,2020-06-22 12:15:00
05,05914,5,1,1,5,39,49,2020-06-22 12:15:00
05,05915,6,2,1,5,39,60,2020-06-22 12:15:00
05,05916,4,2,1,4,21,48,2020-06-22 12:15:00
05,05954,7,0,0,6,30,112,2020-06-22 12:15:00
05,05958,8,4,3,8,47,61,2020-06-22 12:15:00
05,05962,8,0,0,8,49,73,2020-06-22 12:15:00
05,05966,3,0,0,3,29,9,2020-06-22 12:15:00
05,05970,6,0,0,6,49,87,2020-06-22 12:15:00
05,05974,8,0,0,7,37,53,2020-06-22 12:15:00
05,05978,8,0,0,8,32,104,2020-06-22 12:15:00
06,06411,7,0,0,4,36,77,2020-06-22 12:15:00
06,06412,16,7,6,12,95,226,2020-06-22 12:15:00
06,06413,3,1,1,2,57,69,2020-06-22 12:15:00
06,06414,5,2,2,4,34,85,2020-06-22 12:15:00
06,06431,5,0,0,5,22,29,2020-06-22 12:15:00
06,06432,2,0,0,2,3,25,2020-06-22 12:15:00
06,06433,2,0,0,2,7,16,2020-06-22 12:15:00
06,06434,3,0,0,3,17,17,2020-06-22 12:15:00
06,06435,5,1,1,4,38,67,2020-06-22 12:15:00
06,06436,2,1,1,2,11,23,2020-06-22 12:15:00
06,06437,2,2,1,2,2,124,2020-06-22 12:15:00
06,06438,2,2,2,2,22,33,2020-06-22 12:15:00
06,06439,2,0,0,2,10,12,2020-06-22 12:15:00
06,06440,5,1,0,5,57,71,2020-06-22 12:15:00
06,06531,4,7,3,4,55,208,2020-06-22 12:15:00
06,06532,2,0,0,2,12,47,2020-06-22 12:15:00
06,06533,3,0,0,3,24,38,2020-06-22 12:15:00
06,06534,3,0,0,3,46,133,2020-06-22 12:15:00
06,06535,4,0,0,4,27,15,2020-06-22 12:15:00
06,06611,6,1,1,6,57,135,2020-06-22 12:15:00
06,06631,4,1,1,3,33,66,2020-06-22 12:15:00
06,06632,3,0,0,3,32,44,2020-06-22 12:15:00
06,06633,3,0,0,3,14,21,2020-06-22 12:15:00
06,06634,3,0,0,3,27,24,2020-06-22 12:15:00
06,06635,7,0,0,7,56,70,2020-06-22 12:15:00
06,06636,3,0,0,3,38,20,2020-06-22 12:15:00
07,07111,5,0,0,4,52,63,2020-06-22 12:15:00
07,07131,2,0,0,2,10,16,2020-06-22 12:15:00
07,07132,2,0,0,2,14,6,2020-06-22 12:15:00
07,07133,5,0,0,4,30,35,2020-06-22 12:15:00
07,07134,2,0,0,2,8,20,2020-06-22 12:15:00
07,07135,2,0,0,2,10,7,2020-06-22 12:15:00
07,07137,4,1,1,4,36,15,2020-06-22 12:15:00
07,07138,5,0,0,5,42,37,2020-06-22 12:15:00
07,07140,2,0,0,2,8,12,2020-06-22 12:15:00
07,07141,5,0,0,5,19,28,2020-06-22 12:15:00
07,07143,4,0,0,4,16,20,2020-06-22 12:15:00
07,07211,4,0,0,3,50,69,2020-06-22 12:15:00
07,07231,2,0,0,2,20,14,2020-06-22 12:15:00
07,07232,2,0,0,2,6,11,2020-06-22 12:15:00
07,07233,2,0,0,2,15,1,2020-06-22 12:15:00
07,07235,2,0,0,2,8,8,2020-06-22 12:15:00
07,07311,1,0,0,1,3,19,2020-06-22 12:15:00
07,07312,1,2,0,1,64,101,2020-06-22 12:15:00
07,07313,3,0,0,2,9,6,2020-06-22 12:15:00
07,07314,4,0,0,4,67,77,2020-06-22 12:15:00
07,07315,2,1,1,2,41,104,2020-06-22 12:15:00
07,07316,1,0,0,1,11,10,2020-06-22 12:15:00
07,07317,1,0,0,1,5,11,2020-06-22 12:15:00
07,07318,3,1,1,2,14,23,2020-06-22 12:15:00
07,07319,1,0,0,1,11,21,2020-06-22 12:15:00
07,07320,1,0,0,1,8,6,2020-06-22 12:15:00
07,07331,1,0,0,1,2,5,2020-06-22 12:15:00
07,07332,2,0,0,2,11,6,2020-06-22 12:15:00
07,07333,2,0,0,2,6,6,2020-06-22 12:15:00
07,07334,2,0,0,2,21,8,2020-06-22 12:15:00
07,07335,1,0,0,1,9,5,2020-06-22 12:15:00
07,07336,1,0,0,1,4,12,2020-06-22 12:15:00
07,07337,2,0,0,2,10,7,2020-06-22 12:15:00
07,07339,2,2,2,2,21,6,2020-06-22 12:15:00
07,07340,1,0,0,1,7,2,2020-06-22 12:15:00
08,08111,11,10,4,9,206,307,2020-06-22 12:15:00
08,08115,4,0,0,4,12,40,2020-06-22 12:15:00
08,08116,6,0,0,4,38,52,2020-06-22 12:15:00
08,08117,4,0,0,3,32,43,2020-06-22 12:15:00
08,08118,5,12,6,4,134,75,2020-06-22 12:15:00
08,08119,2,1,1,2,69,40,2020-06-22 12:15:00
08,08121,2,2,2,1,43,44,2020-06-22 12:15:00
08,08125,2,0,0,2,20,33,2020-06-22 12:15:00
08,08126,1,0,0,1,6,6,2020-06-22 12:15:00
08,08127,2,1,0,2,26,27,2020-06-22 12:15:00
08,08128,3,1,1,3,34,34,2020-06-22 12:15:00
08,08135,1,0,0,1,12,12,2020-06-22 12:15:00
08,08136,3,0,0,3,24,26,2020-06-22 12:15:00
08,08211,2,0,0,1,17,16,2020-06-22 12:15:00
08,08212,4,1,1,4,66,112,2020-06-22 12:15:00
08,08215,3,0,0,3,21,42,2020-06-22 12:15:00
08,08216,2,0,0,2,0,15,2020-06-22 12:15:00
08,08221,6,6,3,6,106,223,2020-06-22 12:15:00
08,08222,5,1,1,3,11,112,2020-06-22 12:15:00
08,08225,3,3,2,3,4,12,2020-06-22 12:15:00
08,08226,4,0,0,4,10,37,2020-06-22 12:15:00
08,08231,2,0,0,2,30,43,2020-06-22 12:15:00
08,08235,2,0,0,2,10,12,2020-06-22 12:15:00
08,08236,2,0,0,2,5,13,2020-06-22 12:15:00
08,08237,1,0,0,1,5,9,2020-06-22 12:15:00
08,08311,4,2,2,4,103,130,2020-06-22 12:15:00
08,08315,4,0,0,4,54,73,2020-06-22 12:15:00
08,08316,3,0,0,3,5,29,2020-06-22 12:15:00
08,08317,6,0,0,6,62,60,2020-06-22 12:15:00
08,08325,2,0,0,2,7,9,2020-06-22 12:15:00
08,08326,5,16,2,2,51,54,2020-06-22 12:15:00
08,08327,1,1,1,1,4,8,2020-06-22 12:15:00
08,08335,7,0,0,6,34,56,2020-06-22 12:15:00
08,08336,1,0,0,1,8,12,2020-06-22 12:15:00
08,08337,2,0,0,2,12,25,2020-06-22 12:15:00
08,08415,2,0,0,1,13,23,2020-06-22 12:15:00
08,08416,5,1,1,2,21,99,2020-06-22 12:15:00
08,08417,1,1,0,1,12,18,2020-06-22 12:15:00
08,08421,3,0,0,3,57,76,2020-06-22 12:15:00
08,08425,2,0,0,2,24,6,2020-06-22 12:15:00
08,08426,1,0,0,1,19,8,2020-06-22 12:15:00
08,08435,3,1,1,3,37,37,2020-06-22 12:15:00
08,08436,5,2,1,4,14,44,2020-06-22 12:15:00
08,08437,2,1,0,2,15,12,2020-06-22 12:15:00
09,09161,2,4,2,1,10,28,2020-06-22 12:15:00
09,09162,25,16,12,24,205,537,2020-06-22 12:15:00
09,09163,1,1,0,1,45,25,2020-06-22 12:15:00
09,09171,3,0,0,2,14,27,2020-06-22 12:15:00
09,09172,3,0,0,3,8,17,2020-06-22 12:15:00
09,09173,2,0,0,2,9,19,2020-06-22 12:15:00
09,09174,1,1,1,1,29,29,2020-06-22 12:15:00
09,09175,1,0,0,1,6,14,2020-06-22 12:15:00
09,09176,3,2,2,3,19,57,2020-06-22 12:15:00
09,09177,1,0,0,1,14,13,2020-06-22 12:15:00
09,09178,1,2,2,1,2,20,2020-06-22 12:15:00
09,09179,1,0,0,1,4,11,2020-06-22 12:15:00
09,09180,2,0,0,2,51,64,2020-06-22 12:15:00
09,09182,1,0,0,1,22,8,2020-06-22 12:15:00
09,09183,1,0,0,1,11,15,2020-06-22 12:15:00
09,09184,1,0,0,1,5,8,2020-06-22 12:15:00
09,09185,2,0,0,2,11,6,2020-06-22 12:15:00
09,09186,1,0,0,1,3,10,2020-06-22 12:15:00
09,09187,5,1,1,5,22,44,2020-06-22 12:15:00
09,09188,5,2,2,5,49,39,2020-06-22 12:15:00
09,09189,3,1,0,2,21,43,2020-06-22 12:15:00
09,09190,3,0,0,3,23,21,2020-06-22 12:15:00
09,09261,5,2,0,3,13,56,2020-06-22 12:15:00
09,09262,3,0,0,2,26,30,2020-06-22 12:15:00
09,09263,1,0,0,1,22,21,2020-06-22 12:15:00
09,09271,2,0,0,2,6,29,2020-06-22 12:15:00
09,09272,2,0,0,2,12,10,2020-06-22 12:15:00
09,09273,3,0,0,3,20,12,2020-06-22 12:15:00
09,09274,1,0,0,1,2,8,2020-06-22 12:15:00
09,09276,2,0,0,2,11,14,2020-06-22 12:15:00
09,09277,1,1,1,1,21,14,2020-06-22 12:15:00
09,09278,2,0,0,2,9,13,2020-06-22 12:15:00
09,09279,2,0,0,2,9,17,2020-06-22 12:15:00
09,09361,1,0,0,1,26,14,2020-06-22 12:15:00
09,09362,4,6,4,4,102,189,2020-06-22 12:15:00
09,09363,1,0,0,1,21,52,2020-06-22 12:15:00
09,09371,1,0,0,1,9,5,2020-06-22 12:15:00
09,09372,1,0,0,1,12,10,2020-06-22 12:15:00
09,09373,1,0,0,1,12,18,2020-06-22 12:15:00
09,09375,2,1,0,2,6,8,2020-06-22 12:15:00
09,09376,4,0,0,4,32,14,2020-06-22 12:15:00
09,09377,1,0,0,1,2,10,2020-06-22 12:15:00
09,09461,4,0,0,1,33,27,2020-06-22 12:15:00
09,09462,5,0,0,2,13,49,2020-06-22 12:15:00
09,09463,2,3,3,1,12,32,2020-06-22 12:15:00
09,09464,1,0,0,1,13,29,2020-06-22 12:15:00
09,09471,1,0,0,1,5,3,2020-06-22 12:15:00
09,09472,1,0,0,1,7,2,2020-06-22 12:15:00
09,09474,2,0,0,2,11,10,2020-06-22 12:15:00
09,09475,2,0,0,2,5,12,2020-06-22 12:15:00
09,09476,1,0,0,1,2,13,2020-06-22 12:15:00
09,09477,1,0,0,1,12,26,2020-06-22 12:15:00
09,09478,2,0,0,2,7,23,2020-06-22 12:15:00
09,09479,2,0,0,2,11,9,2020-06-22 12:15:00
09,09561,2,0,0,2,11,12,2020-06-22 12:15:00
09,09562,3,1,0,3,37,126,2020-06-22 12:15:00
