bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,3,0,2,10,31,2022-05-28 10:20:07+00:00,29,5
01,01002,7,2,0,3,26,114,2022-05-28 10:20:07+00:00,97,19
01,01003,3,2,0,2,6,111,2022-05-28 10:20:07+00:00,91,5
01,01004,1,0,0,1,3,22,2022-05-28 10:20:07+00:00,22,3
01,01051,1,0,0,1,7,18,2022-05-28 10:20:07+00:00,18,7
01,01053,2,2,0,2,3,13,2022-05-28 10:20:07+00:00,13,3
01,01054,3,0,0,3,7,17,2022-05-28 10:20:07+00:00,17,7
01,01055,3,1,0,3,7,40,2022-05-28 10:20:07+00:00,40,7
01,01056,2,1,0,2,4,31,2022-05-28 10:20:07+00:00,31,4
01,01057,1,0,0,1,8,4,2022-05-28 10:20:07+00:00,4,8
01,01058,5,1,0,3,10,31,2022-05-28 10:20:07+00:00,28,7
01,01059,1,1,0,1,0,24,2022-05-28 10:20:07+00:00,24,0
01,01060,3,2,1,3,25,56,2022-05-28 10:20:07+00:00,56,25
01,01061,3,1,0,1,10,34,2022-05-28 10:20:07+00:00,24,6
01,01062,3,2,2,3,9,21,2022-05-28 10:20:07+00:00,21,9
02,02000,34,10,5,24,116,442,2022-05-28 10:20:07+00:00,382,68
03,03101,7,1,1,5,36,96,2022-05-28 10:20:07+00:00,88,27
03,03102,2,0,0,2,3,25,2022-05-28 10:20:07+00:00,25,3
03,03103,3,0,0,1,3,26,2022-05-28 10:20:07+00:00,20,0
03,03151,1,1,1,1,0,12,2022-05-28 10:20:07+00:00,12,0
03,03153,3,2,1,3,5,22,2022-05-28 10:20:07+00:00,22,5
03,03154,1,0,0,1,0,16,2022-05-28 10:20:07+00:00,16,0
03,03155,2,2,0,2,5,16,2022-05-28 10:20:07+00:00,16,5
03,03157,1,0,0,1,1,11,2022-05-28 10:20:07+00:00,11,1
03,03158,1,0,0,1,6,10,2022-05-28 10:20:07+00:00,10,6
03,03159,8,2,1,7,36,108,2022-05-28 10:20:07+00:00,99,25
03,03241,19,8,5,16,63,312,2022-05-28 10:20:07+00:00,271,53
03,03251,3,0,0,3,9,8,2022-05-28 10:20:07+00:00,8,9
03,03252,6,0,0,4,18,56,2022-05-28 10:20:07+00:00,56,12
03,03254,7,2,1,4,22,54,2022-05-28 10:20:07+00:00,49,16
03,03255,1,0,0,1,1,9,2022-05-28 10:20:07+00:00,9,1
03,03256,1,1,0,1,5,11,2022-05-28 10:20:07+00:00,11,5
03,03257,1,1,1,1,3,21,2022-05-28 10:20:07+00:00,21,3
03,03351,2,1,1,1,12,24,2022-05-28 10:20:07+00:00,16,10
03,03352,2,0,0,2,4,8,2022-05-28 10:20:07+00:00,8,4
03,03353,3,0,0,3,1,28,2022-05-28 10:20:07+00:00,28,1
03,03354,1,0,0,1,1,5,2022-05-28 10:20:07+00:00,5,1
03,03355,3,1,0,1,5,32,2022-05-28 10:20:07+00:00,19,1
03,03356,3,1,0,2,2,7,2022-05-28 10:20:07+00:00,7,2
03,03357,3,0,0,2,12,18,2022-05-28 10:20:07+00:00,18,8
03,03358,2,0,0,2,8,14,2022-05-28 10:20:07+00:00,14,8
03,03359,3,0,0,2,7,19,2022-05-28 10:20:07+00:00,19,4
03,03360,2,0,0,2,8,68,2022-05-28 10:20:07+00:00,68,8
03,03361,2,0,0,2,6,7,2022-05-28 10:20:07+00:00,7,6
03,03401,1,0,0,1,4,15,2022-05-28 10:20:07+00:00,15,4
03,03402,1,2,0,1,2,10,2022-05-28 10:20:07+00:00,10,2
03,03403,6,1,0,3,7,106,2022-05-28 10:20:07+00:00,90,6
03,03404,5,1,0,4,16,98,2022-05-28 10:20:07+00:00,84,14
03,03405,2,1,0,1,7,21,2022-05-28 10:20:07+00:00,15,5
03,03451,3,1,0,2,0,29,2022-05-28 10:20:07+00:00,29,0
03,03452,4,0,0,3,12,25,2022-05-28 10:20:07+00:00,18,11
