bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,4,1,2,7,35,2021-12-26 12:15:00+01:00,31,4
01,01002,7,12,7,3,36,102,2021-12-26 12:15:00+01:00,86,28
01,01003,3,9,5,2,10,113,2021-12-26 12:15:00+01:00,89,10
01,01004,1,2,2,1,9,16,2021-12-26 12:15:00+01:00,16,9
01,01051,1,4,2,1,6,32,2021-12-26 12:15:00+01:00,32,6
01,01053,2,0,0,2,4,14,2021-12-26 12:15:00+01:00,14,4
01,01054,3,2,1,3,4,20,2021-12-26 12:15:00+01:00,20,4
01,01055,3,1,1,3,7,37,2021-12-26 12:15:00+01:00,37,7
01,01056,2,3,1,2,8,26,2021-12-26 12:15:00+01:00,26,8
01,01057,1,0,0,1,3,9,2021-12-26 12:15:00+01:00,9,3
01,01058,5,2,2,3,17,25,2021-12-26 12:15:00+01:00,24,12
01,01059,1,1,1,1,0,24,2021-12-26 12:15:00+01:00,24,0
01,01060,3,4,3,3,21,55,2021-12-26 12:15:00+01:00,55,21
01,01061,3,3,2,1,20,23,2021-12-26 12:15:00+01:00,18,12
01,01062,3,6,2,3,5,21,2021-12-26 12:15:00+01:00,21,5
02,02000,34,70,35,24,119,449,2021-12-26 12:15:00+01:00,390,69
03,03101,7,12,6,5,32,97,2021-12-26 12:15:00+01:00,86,26
03,03102,2,5,4,2,3,25,2021-12-26 12:15:00+01:00,25,3
03,03103,3,6,5,1,6,25,2021-12-26 12:15:00+01:00,17,5
03,03151,1,3,1,1,0,12,2021-12-26 12:15:00+01:00,12,0
03,03153,3,2,2,3,1,23,2021-12-26 12:15:00+01:00,23,1
03,03154,1,3,3,1,2,15,2021-12-26 12:15:00+01:00,15,2
03,03155,2,1,0,2,6,14,2021-12-26 12:15:00+01:00,14,6
03,03157,1,2,1,1,5,9,2021-12-26 12:15:00+01:00,9,5
03,03158,1,0,0,1,10,6,2021-12-26 12:15:00+01:00,6,10
03,03159,8,23,16,7,17,125,2021-12-26 12:15:00+01:00,104,16
03,03241,19,47,28,16,47,338,2021-12-26 12:15:00+01:00,296,36
03,03251,3,1,1,3,5,12,2021-12-26 12:15:00+01:00,12,5
03,03252,6,5,4,4,10,66,2021-12-26 12:15:00+01:00,62,8
03,03254,7,8,4,4,15,61,2021-12-26 12:15:00+01:00,55,10
03,03255,1,2,1,1,2,7,2021-12-26 12:15:00+01:00,7,2
03,03256,1,2,0,1,2,12,2021-12-26 12:15:00+01:00,12,2
03,03257,1,1,1,1,3,21,2021-12-26 12:15:00+01:00,21,3
03,03351,2,2,2,1,9,24,2021-12-26 12:15:00+01:00,17,6
03,03352,2,1,0,2,3,9,2021-12-26 12:15:00+01:00,9,3
03,03353,3,5,2,3,5,27,2021-12-26 12:15:00+01:00,27,5
03,03354,1,1,0,1,1,5,2021-12-26 12:15:00+01:00,5,1
03,03355,3,2,1,1,17,26,2021-12-26 12:15:00+01:00,15,11
03,03356,3,1,1,2,2,9,2021-12-26 12:15:00+01:00,9,2
03,03357,3,4,3,2,10,24,2021-12-26 12:15:00+01:00,24,6
03,03358,2,3,2,2,6,12,2021-12-26 12:15:00+01:00,12,6
03,03359,3,5,2,2,3,25,2021-12-26 12:15:00+01:00,25,0
03,03360,2,6,3,2,3,73,2021-12-26 12:15:00+01:00,73,3
03,03361,2,4,0,2,3,12,2021-12-26 12:15:00+01:00,12,3
03,03401,1,3,0,1,0,16,2021-12-26 12:15:00+01:00,16,0
03,03402,1,1,1,1,4,15,2021-12-26 12:15:00+01:00,15,4
03,03403,6,9,7,3,18,92,2021-12-26 12:15:00+01:00,78,10
03,03404,5,13,10,4,16,104,2021-12-26 12:15:00+01:00,90,14
03,03405,2,1,1,1,9,19,2021-12-26 12:15:00+01:00,18,2
03,03451,3,2,2,2,6,26,2021-12-26 12:15:00+01:00,26,6
03,03452,4,1,0,3,12,25,2021-12-26 12:15:00+01:00,20,9
03,03453,3,2,1,3,8,16,2021-12-26 12:15:00+01:00,16,8
03,03454,10,8,6,6,24,65,2021-12-26 12:15:00+01:00,47,18
03,03455,2,2,0,2,3,28,2021-12-26 12:15:00+01:00,28,3
03,03456,1,4,3,1,9,18,2021-12-26 12:15:00+01:00,18,9
03,03457,6,1,1,4,10,19,2021-12-26 12:15:00+01:00,17,7
03,03458,1,0,0,1,5,5,2021-12-26 12:15:00+01:00,5,5
03,03459,7,7,4,6,14,71,2021-12-26 12:15:00+01:00,71,14
03,03460,5,1,1,3,11,23,2021-12-26 12:15:00+01:00,17,9
03,03461,2,2,2,2,2,9,2021-12-26 12:15:00+01:00,9,2
03,03462,1,1,1,1,0,8,2021-12-26 12:15:00+01:00,8,0
04,04011,9,19,15,8,4,128,2021-12-26 12:15:00+01:00,115,1
04,04012,4,3,2,3,11,35,2021-12-26 12:15:00+01:00,31,3
05,05111,14,43,25,11,29,265,2021-12-26 12:15:00+01:00,242,23
05,05112,16,19,11,9,36,146,2021-12-26 12:15:00+01:00,127,28
05,05113,15,35,27,12,50,317,2021-12-26 12:15:00+01:00,302,35
05,05114,7,12,8,4,20,64,2021-12-26 12:15:00+01:00,56,16
05,05116,6,14,12,4,9,80,2021-12-26 12:15:00+01:00,73,9
05,05117,2,7,4,2,3,33,2021-12-26 12:15:00+01:00,33,3
05,05119,6,13,6,4,14,53,2021-12-26 12:15:00+01:00,41,7
05,05120,1,5,3,1,7,21,2021-12-26 12:15:00+01:00,21,7
05,05122,4,13,8,3,9,52,2021-12-26 12:15:00+01:00,52,5
05,05124,7,9,5,5,31,115,2021-12-26 12:15:00+01:00,109,23
05,05154,8,7,4,5,20,40,2021-12-26 12:15:00+01:00,40,12
05,05158,6,11,8,6,5,53,2021-12-26 12:15:00+01:00,53,5
05,05162,7,10,5,5,10,90,2021-12-26 12:15:00+01:00,79,7
05,05166,4,5,2,4,6,26,2021-12-26 12:15:00+01:00,26,6
05,05170,11,15,7,8,28,101,2021-12-26 12:15:00+01:00,97,23
