bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
05,05774,5,3,2,4,43,84,2020-06-13 12:15:00
05,05911,8,2,1,6,108,147,2020-06-13 12:15:00
05,05913,8,6,3,8,64,170,2020-06-13 12:15:00
05,05914,5,1,0,5,36,53,2020-06-13 12:15:00
05,05915,6,1,1,5,37,60,2020-06-13 12:15:00
05,05916,4,1,1,4,25,43,2020-06-13 12:15:00
05,05954,7,0,0,6,36,94,2020-06-13 12:15:00
05,05958,8,4,1,8,55,56,2020-06-13 12:15:00
05,05962,7,0,0,7,48,45,2020-06-13 12:15:00
05,05966,3,1,1,3,26,12,2020-06-13 12:15:00
05,05970,6,0,0,6,44,93,2020-06-13 12:15:00
05,05974,6,0,0,5,24,44,2020-06-13 12:15:00
05,05978,8,1,1,8,30,105,2020-06-13 12:15:00
06,06411,7,0,0,4,27,81,2020-06-13 12:15:00
06,06412,16,7,6,12,79,241,2020-06-13 12:15:00
06,06413,2,2,1,2,50,64,2020-06-13 12:15:00
06,06414,5,6,5,4,39,80,2020-06-13 12:15:00
06,06431,5,0,0,5,23,26,2020-06-13 12:15:00
06,06432,2,2,0,2,3,24,2020-06-13 12:15:00
06,06433,2,0,0,2,5,18,2020-06-13 12:15:00
06,06434,3,0,0,3,18,13,2020-06-13 12:15:00
06,06435,4,1,1,3,34,55,2020-06-13 12:15:00
06,06436,2,0,0,2,13,19,2020-06-13 12:15:00
06,06437,2,2,2,2,12,117,2020-06-13 12:15:00
06,06438,2,4,4,2,18,37,2020-06-13 12:15:00
06,06439,2,0,0,2,12,10,2020-06-13 12:15:00
06,06440,5,0,0,5,61,68,2020-06-13 12:15:00
06,06531,4,7,3,4,57,210,2020-06-13 12:15:00
06,06532,2,0,0,2,10,49,2020-06-13 12:15:00
06,06533,3,0,0,3,25,37,2020-06-13 12:15:00
06,06534,3,1,1,3,57,126,2020-06-13 12:15:00
06,06535,4,0,0,4,26,13,2020-06-13 12:15:00
06,06611,6,1,1,6,52,136,2020-06-13 12:15:00
06,06631,3,1,1,3,26,56,2020-06-13 12:15:00
06,06632,3,0,0,3,37,39,2020-06-13 12:15:00
06,06633,3,0,0,3,21,20,2020-06-13 12:15:00
06,06634,3,0,0,3,38,16,2020-06-13 12:15:00
06,06635,7,0,0,7,44,82,2020-06-13 12:15:00
06,06636,3,0,0,3,28,30,2020-06-13 12:15:00
07,07111,5,0,0,4,50,65,2020-06-13 12:15:00
07,07131,2,0,0,2,7,18,2020-06-13 12:15:00
07,07132,2,0,0,2,9,8,2020-06-13 12:15:00
07,07133,4,0,0,4,30,18,2020-06-13 12:15:00
07,07134,2,0,0,2,12,14,2020-06-13 12:15:00
07,07135,2,0,0,2,11,6,2020-06-13 12:15:00
07,07137,4,1,1,4,29,17,2020-06-13 12:15:00
07,07138,5,0,0,5,34,42,2020-06-13 12:15:00
07,07140,2,0,0,2,7,8,2020-06-13 12:15:00
07,07141,5,0,0,5,25,22,2020-06-13 12:15:00
07,07143,4,0,0,4,21,20,2020-06-13 12:15:00
07,07211,4,0,0,3,62,58,2020-06-13 12:15:00
07,07231,2,0,0,2,17,18,2020-06-13 12:15:00
07,07232,2,0,0,2,9,8,2020-06-13 12:15:00
07,07233,2,0,0,2,15,1,2020-06-13 12:15:00
07,07235,2,0,0,2,6,10,2020-06-13 12:15:00
07,07311,1,0,0,1,7,15,2020-06-13 12:15:00
07,07312,1,1,0,1,71,94,2020-06-13 12:15:00
07,07313,3,0,0,2,11,4,2020-06-13 12:15:00
07,07314,4,1,0,4,58,72,2020-06-13 12:15:00
07,07315,2,1,1,2,34,94,2020-06-13 12:15:00
07,07316,1,0,0,1,10,11,2020-06-13 12:15:00
07,07317,1,0,0,1,9,7,2020-06-13 12:15:00
07,07318,3,1,0,2,11,26,2020-06-13 12:15:00
07,07319,1,0,0,1,5,22,2020-06-13 12:15:00
07,07320,1,0,0,1,7,7,2020-06-13 12:15:00
07,07331,1,1,0,1,0,8,2020-06-13 12:15:00
07,07332,2,0,0,2,13,8,2020-06-13 12:15:00
07,07333,2,0,0,2,6,6,2020-06-13 12:15:00
07,07334,2,0,0,2,22,7,2020-06-13 12:15:00
07,07335,1,0,0,1,9,5,2020-06-13 12:15:00
07,07336,1,0,0,1,5,11,2020-06-13 12:15:00
07,07337,2,0,0,2,6,11,2020-06-13 12:15:00
07,07339,2,2,2,2,11,7,2020-06-13 12:15:00
07,07340,1,0,0,1,6,3,2020-06-13 12:15:00
08,08111,11,13,5,9,215,291,2020-06-13 12:15:00
08,08115,4,0,0,4,14,38,2020-06-13 12:15:00
08,08116,6,3,0,4,35,38,2020-06-13 12:15:00
08,08117,4,0,0,3,32,43,2020-06-13 12:15:00
08,08118,5,12,6,4,140,74,2020-06-13 12:15:00
08,08119,2,3,1,2,63,48,2020-06-13 12:15:00
08,08121,1,2,1,1,31,37,2020-06-13 12:15:00
08,08125,2,1,1,2,18,35,2020-06-13 12:15:00
08,08126,1,0,0,1,4,8,2020-06-13 12:15:00
08,08127,2,1,0,2,23,30,2020-06-13 12:15:00
08,08128,3,1,1,3,35,36,2020-06-13 12:15:00
08,08135,1,0,0,1,10,14,2020-06-13 12:15:00
08,08136,3,0,0,3,27,27,2020-06-13 12:15:00
08,08211,2,1,0,1,15,18,2020-06-13 12:15:00
08,08212,4,0,0,4,61,111,2020-06-13 12:15:00
08,08215,3,0,0,3,20,47,2020-06-13 12:15:00
08,08216,2,0,0,2,0,15,2020-06-13 12:15:00
08,08221,6,5,4,6,109,218,2020-06-13 12:15:00
08,08222,5,2,1,3,34,95,2020-06-13 12:15:00
08,08225,3,1,1,3,5,11,2020-06-13 12:15:00
08,08226,4,1,0,4,8,40,2020-06-13 12:15:00
08,08231,2,0,0,2,31,42,2020-06-13 12:15:00
08,08235,2,0,0,2,13,9,2020-06-13 12:15:00
08,08236,2,0,0,2,5,10,2020-06-13 12:15:00
08,08237,1,0,0,1,2,8,2020-06-13 12:15:00
08,08311,4,5,3,4,98,138,2020-06-13 12:15:00
08,08315,4,0,0,4,53,74,2020-06-13 12:15:00
08,08316,3,1,1,3,5,29,2020-06-13 12:15:00
08,08317,6,1,0,6,76,46,2020-06-13 12:15:00
08,08325,2,0,0,2,4,8,2020-06-13 12:15:00
08,08326,5,12,2,2,37,53,2020-06-13 12:15:00
08,08327,1,1,1,1,3,9,2020-06-13 12:15:00
08,08335,7,0,0,6,29,57,2020-06-13 12:15:00
08,08336,1,0,0,1,6,14,2020-06-13 12:15:00
08,08337,2,0,0,2,12,24,2020-06-13 12:15:00
08,08415,2,0,0,1,12,24,2020-06-13 12:15:00
08,08416,5,4,3,2,20,103,2020-06-13 12:15:00
08,08417,1,1,0,1,8,22,2020-06-13 12:15:00
08,08421,3,1,0,3,55,78,2020-06-13 12:15:00
08,08425,2,0,0,2,18,12,2020-06-13 12:15:00
08,08426,1,0,0,1,21,6,2020-06-13 12:15:00
08,08435,3,1,0,3,46,28,2020-06-13 12:15:00
08,08436,5,2,1,4,13,46,2020-06-13 12:15:00
08,08437,2,0,0,2,17,10,2020-06-13 12:15:00
09,09161,2,8,3,1,9,32,2020-06-13 12:15:00
09,09162,26,28,23,24,225,549,2020-06-13 12:15:00
09,09163,1,0,0,1,38,32,2020-06-13 12:15:00
09,09171,3,0,0,2,11,30,2020-06-13 12:15:00
09,09172,3,0,0,3,7,17,2020-06-13 12:15:00
09,09173,2,0,0,2,6,22,2020-06-13 12:15:00
09,09174,1,1,1,1,39,29,2020-06-13 12:15:00
09,09175,1,0,0,1,12,7,2020-06-13 12:15:00
09,09176,3,2,2,3,23,53,2020-06-13 12:15:00
09,09177,1,0,0,1,16,11,2020-06-13 12:15:00
09,09178,1,2,2,1,5,17,2020-06-13 12:15:00
09,09179,1,0,0,1,5,10,2020-06-13 12:15:00
09,09180,2,0,0,2,52,63,2020-06-13 12:15:00
09,09181,1,0,0,1,2,8,2020-06-13 12:15:00
09,09182,1,0,0,1,24,6,2020-06-13 12:15:00
09,09183,1,0,0,1,11,15,2020-06-13 12:15:00
09,09184,2,0,0,2,9,8,2020-06-13 12:15:00
09,09185,3,1,1,2,10,7,2020-06-13 12:15:00
09,09186,1,0,0,1,3,10,2020-06-13 12:15:00
09,09187,4,0,0,4,14,14,2020-06-13 12:15:00
09,09188,5,3,3,5,44,45,2020-06-13 12:15:00
09,09189,3,3,2,2,24,36,2020-06-13 12:15:00
09,09190,3,0,0,3,18,25,2020-06-13 12:15:00
09,09261,5,1,0,3,13,54,2020-06-13 12:15:00
09,09262,3,0,0,2,23,33,2020-06-13 12:15:00
09,09263,1,0,0,1,31,12,2020-06-13 12:15:00
09,09271,2,1,0,2,7,28,2020-06-13 12:15:00
09,09272,2,0,0,2,11,11,2020-06-13 12:15:00
09,09273,3,0,0,3,24,8,2020-06-13 12:15:00
09,09274,1,0,0,1,4,6,2020-06-13 12:15:00
09,09275,1,0,0,1,2,17,2020-06-13 12:15:00
09,09276,2,0,0,2,12,13,2020-06-13 12:15:00
09,09277,2,1,1,2,24,13,2020-06-13 12:15:00
09,09278,2,0,0,2,15,10,2020-06-13 12:15:00
09,09279,2,1,0,2,7,19,2020-06-13 12:15:00
09,09361,1,0,0,1,26,14,2020-06-13 12:15:00
09,09362,4,10,9,4,118,174,2020-06-13 12:15:00
09,09363,1,3,2,1,23,50,2020-06-13 12:15:00
09,09371,1,1,1,1,10,4,2020-06-13 12:15:00
09,09372,1,0,0,1,15,7,2020-06-13 12:15:00
09,09373,1,0,0,1,13,17,2020-06-13 12:15:00
09,09375,2,1,0,2,3,10,2020-06-13 12:15:00
09,09376,5,0,0,5,28,20,2020-06-13 12:15:00
09,09377,1,0,0,1,2,10,2020-06-13 12:15:00
09,09461,4,0,0,1,33,26,2020-06-13 12:15:00
09,09462,5,0,0,2,15,44,2020-06-13 12:15:00
09,09463,2,2,2,1,15,30,2020-06-13 12:15:00
09,09464,1,0,0,1,10,29,2020-06-13 12:15:00
09,09471,2,0,0,2,15,3,2020-06-13 12:15:00
09,09472,1,0,0,1,7,2,2020-06-13 12:15:00
09,09474,2,0,0,2,7,17,2020-06-13 12:15:00
09,09475,2,0,0,2,4,13,2020-06-13 12:15:00
09,09476,1,0,0,1,4,11,2020-06-13 12:15:00
09,09477,1,0,0,1,13,25,2020-06-13 12:15:00
09,09478,2,0,0,2,14,15,2020-06-13 12:15:00
09,09479,2,0,0,2,15,5,2020-06-13 12:15:00
09,09561,2,1,1,2,6,17,2020-06-13 12:15:00
09,09562,3,3,0,3,45,118,2020-06-13 12:15:00
09,09563,2,0,0,2,16,30,2020-06-13 12:15:00
09,09564,8,1,0,6,115,138,2020-06-13 12:15:00
09,09571,3,2,0,3,10,12,2020-06-13 12:15:00
09,09572,1,0,0,1,1,5,2020-06-13 12:15:00
09,09574,3,0,0,3,7,17,2020-06-13 12:15:00
