bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,3,1,2,8,34,2021-12-25 12:15:00+01:00,30,5
01,01002,7,11,6,3,29,104,2021-12-25 12:15:00+01:00,89,21
01,01003,3,9,5,2,12,112,2021-12-25 12:15:00+01:00,88,12
01,01004,1,2,2,1,7,18,2021-12-25 12:15:00+01:00,18,7
01,01051,1,3,2,1,3,35,2021-12-25 12:15:00+01:00,35,3
01,01053,2,0,0,2,7,11,2021-12-25 12:15:00+01:00,11,7
01,01054,3,2,1,3,5,19,2021-12-25 12:15:00+01:00,19,5
01,01055,3,1,1,3,6,38,2021-12-25 12:15:00+01:00,38,6
01,01056,2,3,1,2,9,25,2021-12-25 12:15:00+01:00,25,9
01,01057,1,1,0,1,6,6,2021-12-25 12:15:00+01:00,6,6
01,01058,5,2,2,3,17,24,2021-12-25 12:15:00+01:00,22,14
01,01059,1,2,2,1,0,24,2021-12-25 12:15:00+01:00,24,0
01,01060,3,5,3,3,21,55,2021-12-25 12:15:00+01:00,55,21
01,01061,3,3,2,1,18,25,2021-12-25 12:15:00+01:00,21,9
01,01062,3,6,2,3,5,21,2021-12-25 12:15:00+01:00,21,5
02,02000,34,68,33,24,123,440,2021-12-25 12:15:00+01:00,390,64
03,03101,7,10,6,5,34,95,2021-12-25 12:15:00+01:00,86,26
03,03102,2,5,4,2,0,28,2021-12-25 12:15:00+01:00,28,0
03,03103,3,8,5,1,7,24,2021-12-25 12:15:00+01:00,19,3
03,03151,1,4,1,1,1,11,2021-12-25 12:15:00+01:00,11,1
03,03153,3,2,2,3,1,23,2021-12-25 12:15:00+01:00,23,1
03,03154,1,3,3,1,2,15,2021-12-25 12:15:00+01:00,15,2
03,03155,2,1,0,2,6,15,2021-12-25 12:15:00+01:00,15,6
03,03157,1,3,1,1,2,12,2021-12-25 12:15:00+01:00,12,2
03,03158,1,0,0,1,12,4,2021-12-25 12:15:00+01:00,4,12
03,03159,8,24,16,7,13,126,2021-12-25 12:15:00+01:00,110,11
03,03241,19,51,30,16,54,328,2021-12-25 12:15:00+01:00,288,41
03,03251,3,1,1,3,4,13,2021-12-25 12:15:00+01:00,13,4
